age,income,score,visits,segment
61.0,64088.76418235446,687.846975842198,17,B
61.0,43791.42171174473,720.9407243523791,4,B
36.0,37389.19976896003,592.9156814903716,9,B
51.0,19494.68338725621,718.3748584108449,1,B
38.0,64780.10923765034,704.1921094953842,4,B
61.0,49895.47376087371,525.2493411755513,19,B
39.0,19772.641879157665,614.8009836376233,0,B
58.0,47525.28765104172,600.1967877867557,3,A
28.0,36967.27121789524,543.888311734516,16,B
32.0,41959.42393822443,740.5787657743398,8,A
46.0,10395.726403323062,683.6181367579669,4,B
41.0,43596.721707768986,774.1504096097991,15,B
16.0,27289.993906123145,687.846975842198,6,A
22.0,75402.02673129288,670.6112336736928,7,A
49.0,27107.42440236145,718.3748584108449,15,A
52.0,40730.84137193914,676.1607895031452,12,A
43.0,22430.58655892845,642.8962841829999,8,A
38.0,43144.16461012459,727.691120545833,4,B
27.0,34485.3523470214,766.3240145165967,5,B
31.0,23221.34033677406,666.2220038601894,6,B
49.0,36424.916556053,765.3843832948995,17,A
49.0,53285.068803611415,695.2950206859866,1,B
66.0,32507.68955858332,489.8763404449057,5,A
59.0,28549.064231504504,670.0357040208609,15,B
56.0,15477.983781569425,557.8200926978586,8,A
22.0,23596.201396005505,681.2424477055614,0,A
45.0,41258.2638901056,536.5852663872345,2,A
14.0,37607.53809361253,603.5478877803532,0,B
45.0,49810.98105812527,659.1667549619102,0,A
48.0,40849.01779422775,695.2368335335275,17,B
32.0,33420.376875312504,664.1809093559085,0,B
49.0,29654.38742306639,696.0437207999915,14,B
37.0,34437.76409508679,713.6670924175819,4,A
17.0,18933.23157719505,523.9504538263508,4,A
14.0,25674.32945265297,700.6286331685845,15,A
37.0,40482.11689395901,733.5898249963542,15,A
56.0,34768.007370035695,767.3745000567234,1,B
41.0,22980.97415834268,606.595374391054,6,A
23.0,22430.58655892845,619.7754773793382,10,A
49.0,83612.12342127648,536.5852663872345,5,A
44.0,21020.728783139653,693.4075570633568,8,B
38.0,14101.364903444966,727.8930809075272,2,A
33.0,27963.088508233213,560.1785254183204,1,B
32.0,44083.97296856244,632.5576697516462,4,A
44.0,42852.534801252965,760.5366074702238,12,B
36.0,16618.320761084877,740.4079453123611,12,B
36.0,62943.31416479563,678.5855538168502,12,A
38.0,42603.85971942729,804.703478815055,10,A
65.0,36903.21069638214,675.8237971274599,2,A
52.0,22684.54085887313,683.6181367579669,6,A
39.0,41826.838901837335,581.1326657181144,15,A
22.0,11610.104520913072,557.4028294213263,10,B
35.0,31354.42046922314,803.0363846185402,17,B
52.0,21643.51050952904,685.1192823511116,8,A
36.0,31527.07960238661,664.4291154421119,17,B
46.0,30700.382337253188,740.5787657743398,16,A
27.0,36847.93924609455,845.6104116047134,14,B
43.0,74142.38476164927,654.1738654926027,15,A
46.0,35101.87658580287,640.6495850873181,19,B
30.0,44127.82666851176,575.877351107428,15,B
47.0,60652.63876122308,680.083549569809,8,A
36.0,44289.17866427781,624.0812179602856,15,A
50.0,13788.372998754026,633.6745132448921,13,A
17.0,16639.26967191039,756.2904853479549,12,B
50.0,24262.82318760653,533.4289669664355,1,B
12.0,28427.859412590635,833.9671274429855,12,B
44.0,27289.993906123145,690.7918598781229,9,B
22.0,31527.07960238661,651.8684252891644,5,B
39.0,51906.4449353065,677.2167981494671,0,A
47.0,24923.19167100064,727.3839388674218,12,B
59.0,21573.180608159422,589.1592921542908,15,B
56.0,32841.48141869395,767.8889113802477,5,A
35.0,74524.89204405437,654.1738654926027,1,B
43.0,79278.25046017139,619.7754773793382,10,A
29.0,29383.738755953316,683.3977566993611,9,A
22.0,48522.38763965109,599.7212215890569,16,B
53.0,10073.14075249346,600.1967877867557,13,A
21.0,23235.45651852681,664.7246265017252,5,A
38.0,32127.56535457724,637.7051916510386,3,A
42.0,21202.564065671715,709.3623122383592,16,B
47.0,43061.97792396671,695.6429628910788,4,B
43.0,93068.1630883033,638.7209682044465,10,A
36.0,23944.20565756232,564.2638938510604,15,A
25.0,22430.58655892845,641.8082634711122,12,A
44.0,36967.27121789524,591.4171694878339,5,B
50.0,50001.74604741946,640.0952564536273,4,A
32.0,45961.90346074045,658.8490498062943,15,B
23.0,35397.67588822787,664.7246265017252,6,B
29.0,40601.52917149519,524.969252372812,4,A
56.0,66642.30829120839,633.2472938368313,16,B
44.0,10073.14075249346,563.0745712327528,1,B
36.0,20812.436153930437,706.9581618392841,3,B
63.0,19492.09165620089,596.8299199949495,8,A
43.0,81264.82113338586,543.888311734516,2,B
43.0,89070.63871206084,508.5902309648495,13,B
25.0,29654.38742306639,605.3782923208461,15,B
49.0,40979.29675011819,505.3842512180054,13,B
45.0,26715.83124779755,760.5366074702238,5,A
33.0,26200.71364318258,691.9160763354137,18,B
48.0,44083.97296856244,511.3432717432813,6,B
45.0,21020.728783139653,677.1900288954163,6,A
23.0,44290.10864751156,576.734121816285,10,A
25.0,50198.59641130334,659.4678330710564,16,A
33.0,74524.89204405437,609.4315775657407,19,B
41.0,41258.2638901056,602.0200440704908,12,A
45.0,27674.10025766929,621.0983659997244,15,B
56.0,20836.208583492076,453.93022971679306,17,A
59.0,119527.42732014687,619.7754773793382,4,A
18.0,31473.10104989605,620.8449398188432,12,B
38.0,20535.688222471737,699.1279341690099,15,A
45.0,16190.352681425931,711.9595763092298,8,B
64.0,38774.91954111835,632.8956353527608,18,A
38.0,47525.28765104172,505.1505056015684,18,B
42.0,29874.723240321106,798.9854049115904,14,A
38.0,81999.50370188155,554.3712820561518,15,B
46.0,41749.056963513445,581.1326657181144,14,B
42.0,66586.65215944812,622.1981270245185,1,A
21.0,36524.02878454272,567.4082384356122,6,A
36.0,34863.86256544288,505.3842512180054,5,A
21.0,45338.25129848908,600.6965529446313,16,B
13.0,52575.58451008432,657.534644658585,16,B
32.0,18354.48382736577,715.935969583669,13,A
44.0,111464.35762257034,679.296767822715,2,A
44.0,33407.51103418177,715.935969583669,19,B
46.0,67776.78373695936,609.4315775657407,16,B
35.0,28870.62015644352,711.9595763092298,4,B
58.0,28549.064231504504,625.4747502970354,13,A
43.0,32127.56535457724,727.691120545833,12,B
15.0,23298.68434646816,577.928240375634,3,B
14.0,21861.14298883521,565.337515932989,11,A
38.0,62943.31416479563,628.3875896530324,6,A
28.0,35479.35882566729,727.9115302573921,4,A
28.0,22029.635315510848,693.4075570633568,4,B
37.0,47966.91212079994,648.1413031319707,4,A
48.0,21020.728783139653,654.8374758493894,18,B
38.0,19435.22131250469,524.5655666855602,4,B
47.0,30470.790307934985,570.171841340478,0,B
39.0,63091.39117106195,453.93022971679306,0,B
22.0,22029.635315510848,765.9475840989043,19,A
43.0,51513.45763659789,555.2697334481383,18,B
27.0,44290.10864751156,649.2964248411542,12,A
45.0,33062.81462210181,678.1627577442339,4,B
42.0,51710.94914882507,711.9595763092298,2,B
21.0,10883.89025932459,727.9115302573921,15,B
53.0,21022.27925122872,505.1505056015684,15,B
41.0,55687.42637758036,792.8254715379782,12,A
45.0,30305.47691573301,581.1326657181144,4,B
40.0,31268.53652337088,566.3965032330958,14,B
64.0,86206.22505355463,748.6321547282157,6,B
29.0,53927.88989594932,695.065045881314,10,A
45.0,67776.78373695936,699.1279341690099,18,A
48.0,47598.94163446541,679.8441854747342,7,B
20.0,38159.0187259798,597.9549103675527,14,A
25.0,83612.12342127648,772.9572523134116,7,B
56.0,40979.608155929694,766.3240145165967,19,B
40.0,40601.52917149519,558.0636802249364,3,B
44.0,37022.849737615565,541.5348823098757,13,A
39.0,34863.86256544288,794.1393558197717,12,B
50.0,36424.916556053,676.9120750951898,4,A
41.0,33002.15055479813,560.8306429545659,3,A
38.0,24020.129249747755,547.0885331933042,1,B
45.0,43144.16461012459,500.302550715121,1,A
38.0,57651.92282654963,729.0842593972252,19,A
51.0,36847.93924609455,586.4320435899956,9,A
27.0,42922.3335167144,677.1900288954163,12,B
55.0,60652.63876122308,642.8962841829999,19,B
25.0,31216.126656114186,663.5765236114249,1,A
38.0,27202.19495657501,674.1576594015417,10,A
34.0,26415.13336572175,677.1900288954163,8,B
36.0,41125.91162110559,673.2032317186828,15,A
27.0,29019.34327170368,765.6100765541227,19,B
26.0,11382.38192536404,489.8763404449057,17,B
40.0,36884.35638328557,641.2683878750933,10,B
54.0,8389.219872089285,695.065045881314,5,B
58.0,20211.645022546487,631.1336510260118,2,B
31.0,22292.83470062543,624.6049156129855,14,B
57.0,89070.63871206084,625.4747502970354,4,A
62.0,36524.02878454272,798.759584609865,15,A
39.0,38769.22706148918,679.8441854747342,4,B
75.0,52459.22846561127,606.595374391054,12,A
50.0,30305.47691573301,618.7457917920643,16,B
50.0,36570.3327808059,678.8473342125474,1,B
40.0,42396.031534471855,682.9577265701403,5,B
18.0,49639.52153751258,557.8200926978586,16,A
23.0,35674.614339634645,650.3037001297167,17,A
32.0,53298.24166609076,535.8290878251007,17,B
36.0,27107.42440236145,648.1413031319707,12,A
43.0,21202.564065671715,710.4998530903845,1,B
41.0,13787.484421313096,488.8717924107768,5,B
40.0,32811.7843103571,642.8962841829999,5,B
39.0,40852.53620468736,726.7672420600059,12,B
27.0,20211.645022546487,557.9931604678109,12,A
43.0,67675.10657742964,616.8421547331313,6,A
13.0,15285.564988696204,575.877351107428,17,B
34.0,29703.01129144237,651.8684252891644,15,A
36.0,59498.27339392639,591.9686782393619,14,A
30.0,44913.01727354888,521.5783002293946,9,A
44.0,37866.06239916718,640.7600896560853,4,A
59.0,25740.3186048579,828.3785473127639,7,B
37.0,18933.23157719505,657.7930730366226,8,A
27.0,24025.84168207646,680.083549569809,19,B
45.0,26200.71364318258,730.6008616789247,14,A
53.0,73270.30545442076,694.4860219058521,4,B
56.0,13639.213654898243,636.8049779683025,0,A
30.0,38769.22706148918,602.0200440704908,16,B
38.0,89214.35723961102,631.6565877158154,13,A
44.0,32507.68955858332,658.1540709898126,12,B
40.0,44162.54585391296,745.2330850634995,9,A
59.0,41613.70660329977,702.2595906624981,0,A
26.0,34896.26973421742,718.3748584108449,5,A
50.0,40482.11689395901,723.3049152859653,8,B
45.0,65766.2814913931,675.8237971274599,17,B
36.0,42434.90005499661,420.6356036973805,5,A
44.0,5859.347846545722,522.5764592222778,13,A
45.0,44534.43942254079,555.2697334481383,14,B
32.0,71805.35655206877,605.3782923208461,3,B
66.0,35810.94212845885,693.4075570633568,15,A
59.0,38159.0187259798,575.6808666295536,6,B
38.0,35810.94212845885,538.1512272160919,11,B
37.0,24025.84168207646,726.7672420600059,4,B
41.0,31473.10104989605,643.2119574670393,2,A
43.0,47320.870008463615,565.337515932989,0,A
28.0,62943.31416479563,610.6675508027613,15,A
23.0,44290.10864751156,680.1558228556298,15,B
22.0,41125.91162110559,700.6286331685845,17,A
44.0,47772.907085508734,535.8290878251007,17,B
44.0,31146.538387476987,617.0280497234426,4,B
50.0,74524.89204405437,792.8254715379782,7,B
56.0,34241.532001439686,684.2237118597707,19,A
48.0,38159.0187259798,664.2992770629062,9,A
49.0,34896.26973421742,596.8299199949495,9,A
35.0,47944.10078736149,648.1851779739483,10,B
44.0,48709.51078848201,620.9133367754561,19,B
48.0,42955.52806600035,550.6595576897286,3,A
57.0,27963.088508233213,522.888194865702,19,B
28.0,21202.564065671715,652.2417749620702,15,A
37.0,30887.41652849214,699.1416350685652,17,A
44.0,41749.056963513445,683.3977566993611,15,A
46.0,11382.38192536404,631.1336510260118,19,B
15.0,37256.10225347459,640.7600896560853,4,A
51.0,64780.10923765034,670.0357040208609,12,A
35.0,45136.30252460458,605.3782923208461,3,B
40.0,56959.30144252169,603.8682166213046,18,B
49.0,48709.51078848201,573.5499866078882,10,A
50.0,49434.66114962896,658.8316580489775,4,A
30.0,22915.637141005496,607.5218796355429,7,B
45.0,21674.000004944737,688.812889003659,7,A
25.0,33286.71452330889,653.220520160037,1,A
68.0,17132.769813636147,784.6868967630418,17,B
42.0,43596.721707768986,658.162503779246,14,A
45.0,33537.09988579492,767.8889113802477,8,B
35.0,63353.34243929452,593.0130348469833,19,A
39.0,20812.436153930437,687.4842222804962,15,A
57.0,34660.31582001963,641.5820692599303,9,A
27.0,32825.41616239653,517.5923725451853,0,A
29.0,41029.72957433352,753.245100985694,10,A
75.0,26200.71364318258,774.1504096097991,5,A
43.0,33673.756065713336,685.5781454556186,5,B
41.0,38159.0187259798,619.6250779885951,11,B
23.0,16156.278307604916,699.455257173224,3,A
37.0,26639.94427667393,650.6804501378523,15,B
49.0,39683.78945902824,602.3128880275067,5,B
54.0,79278.25046017139,689.5645324258282,12,B
50.0,66642.30829120839,745.0107514176897,12,A
46.0,46892.40060391464,691.9160763354137,4,A
27.0,49947.8855238367,529.4139481781563,5,A
30.0,70819.67723817633,708.2971387259477,3,A
58.0,31298.902707682424,561.6809091702671,8,A
37.0,37872.87750074971,654.8374758493894,4,B
53.0,30305.47691573301,684.2237118597707,1,B
28.0,44290.10864751156,646.0352929958734,9,A
31.0,32684.459289052054,633.6745132448921,1,A
37.0,87277.28500961637,636.2748391826922,17,A
37.0,11382.38192536404,581.8272955227525,2,A
37.0,25056.885850763763,765.6100765541227,12,B
38.0,69124.57259991847,650.3037001297167,10,A
41.0,34768.007370035695,650.3037001297167,17,B
61.0,10395.726403323062,497.34956694197865,5,B
34.0,36847.93924609455,702.1398513122432,4,B
45.0,30034.34214521704,733.5898249963542,4,B
51.0,39683.78945902824,729.0842593972252,11,B
43.0,27289.993906123145,706.0578525487668,10,A
42.0,36424.916556053,767.8889113802477,0,A
14.0,17546.131151274145,543.888311734516,9,B
36.0,32127.56535457724,524.5655666855602,4,A
28.0,22915.637141005496,836.0623833505348,10,B
61.0,29366.596564032512,631.6565877158154,16,A
26.0,13787.484421313096,641.5820692599303,10,A
28.0,34896.26973421742,517.5923725451853,4,A
30.0,39426.57465243883,678.2101763133738,12,B
44.0,17882.519558441152,723.3049152859653,2,A
30.0,47944.10078736149,645.179852287897,10,A
24.0,31268.53652337088,676.9120750951898,18,A
46.0,33734.581755367464,772.5423112480842,12,B
51.0,31955.00071084558,713.6622407795387,12,B
63.0,91007.14853503734,551.2149530470817,13,A
29.0,75402.02673129288,555.0343658900504,14,B
24.0,29019.34327170368,680.083549569809,16,A
38.0,25674.32945265297,598.4506303829581,5,B
32.0,22430.58655892845,833.9671274429855,14,A
43.0,54518.78738326309,610.8738025504861,5,A
38.0,24766.132189127908,427.76045754171423,14,B
24.0,14180.1841416384,464.43114185990254,7,B
26.0,71347.14160297308,637.7051916510386,0,A
55.0,43246.66118218001,715.935969583669,0,B
29.0,45518.96359742973,702.1398513122432,5,B
34.0,46140.10323986443,690.7918598781229,14,A
34.0,20426.078992992854,554.3712820561518,6,B
41.0,41968.70827355246,586.1693789105204,7,B
40.0,46140.10323986443,698.2121957045199,5,A
58.0,67834.93681867865,570.2865099198089,6,B
60.0,27452.53677274134,745.4894857485101,2,A
41.0,29629.569925037496,500.302550715121,17,B
38.0,15633.969240562386,729.0842593972252,2,A
58.0,23159.32084456062,683.3977566993611,8,A
31.0,26528.28916214233,709.6399125219987,19,B
39.0,86206.22505355463,607.5218796355429,5,B
51.0,37477.693095104136,715.9541649907984,4,B
35.0,35479.35882566729,640.0952564536273,7,B
30.0,48765.25950908437,695.6429628910788,18,A
46.0,76087.34649628172,766.3240145165967,15,A
36.0,43061.97792396671,598.4506303829581,10,A
40.0,26606.641654768933,779.6056247308841,6,A
44.0,32684.459289052054,749.9006217928405,2,A
15.0,11806.030300479517,708.2971387259477,14,B
41.0,41125.91162110559,539.8147475583706,7,B
40.0,93068.1630883033,709.3623122383592,14,A
42.0,29270.348350030417,621.0983659997244,5,A
15.0,41613.70660329977,705.8253471200004,4,B
22.0,25740.3186048579,550.2146024244665,18,A
28.0,37256.10225347459,470.0172977638714,6,A
46.0,50679.98478939822,631.6565877158154,5,A
13.0,21674.000004944737,744.6024593402126,19,A
12.0,31146.538387476987,539.8890000737641,10,A
49.0,25007.995473864656,686.776476401199,17,B
45.0,89070.63871206084,632.6219073425059,12,A
44.0,16599.37733845901,753.245100985694,13,B
31.0,27477.851420494502,648.1851779739483,6,B
22.0,41125.91162110559,717.6386486785483,11,B
43.0,15584.2906370293,648.1413031319707,13,A
48.0,13787.484421313096,570.2865099198089,0,A
50.0,41131.02825993301,685.5781454556186,2,A
61.0,44127.82666851176,708.2971387259477,18,A
71.0,32127.56535457724,600.1967877867557,8,A
44.0,44025.26571208875,609.971113808248,19,B
28.0,101737.28020926307,664.7246265017252,2,A
31.0,55687.42637758036,635.4000125879791,19,A
37.0,46109.0567573271,539.8147475583706,9,A
44.0,90278.03141867345,683.3977566993611,15,B
36.0,28427.859412590635,619.6250779885951,1,B
37.0,30306.41730381928,723.2744241823679,19,B
20.0,54518.78738326309,610.8738025504861,14,B
44.0,20311.86025896501,765.6100765541227,15,B
54.0,56121.69880580498,526.5099837982335,8,B
49.0,43246.66118218001,522.5764592222778,7,A
40.0,42955.52806600035,694.4860219058521,16,B
42.0,41613.70660329977,767.8889113802477,4,B
54.0,8248.078813170401,638.7209682044465,4,A
38.0,14329.59555442578,661.8901676242265,16,B
54.0,20535.688222471737,685.1192823511116,8,A
29.0,25436.717475059075,767.7611653192107,6,B
34.0,44534.43942254079,483.2478276009221,10,A
61.0,46213.78539628358,642.8962841829999,3,B
46.0,17132.769813636147,753.245100985694,5,B
36.0,33025.592807318324,611.1044695440762,8,A
34.0,49895.47376087371,668.301602314315,12,A
47.0,36092.49953192988,694.7632296492933,9,A
35.0,101350.7438197847,511.3432717432813,19,A
54.0,71654.43289989854,581.699262193007,9,B
66.0,56789.49635360033,732.4156322522185,3,A
40.0,32825.41616239653,634.7391631732361,12,A
44.0,71820.92268657956,661.9873931189824,16,A
29.0,53298.24166609076,715.935969583669,16,B
47.0,50581.08570977348,630.488311185813,11,A
29.0,22892.32038776304,517.5923725451853,15,B
43.0,34768.007370035695,618.7457917920643,7,A
12.0,19492.09165620089,728.8909053568614,7,A
32.0,42971.46472331565,531.1955616698051,5,B
57.0,33529.32963566826,680.3074082766716,1,A
66.0,75171.14965605337,632.8956353527608,19,B
33.0,31074.003074363198,687.4842222804962,12,A
38.0,29874.723240321106,767.8889113802477,10,B
38.0,101737.28020926307,650.2486840148509,19,B
61.0,42117.09525883346,731.523495459341,0,B
31.0,22980.97415834268,685.5781454556186,18,A
50.0,36881.25251570227,547.0885331933042,19,B
24.0,17183.08339104699,499.76089872272735,6,B
42.0,63091.39117106195,648.1413031319707,19,A
15.0,33537.09988579492,629.6313464187176,9,A
65.0,16599.37733845901,633.6744387961252,8,B
61.0,43977.91557700127,700.6286331685845,11,A
42.0,42117.09525883346,710.3084055946946,10,B
30.0,54632.702733721344,529.4139481781563,7,B
44.0,39894.22253384244,603.0731931943279,16,A
40.0,26415.13336572175,563.0745712327528,7,B
36.0,20543.20481805287,679.162759122661,12,B
26.0,50198.59641130334,543.888311734516,2,A
34.0,26528.28916214233,759.4325960576776,15,B
44.0,32825.41616239653,691.5728458677202,12,A
16.0,36096.734191015305,798.9854049115904,16,A
42.0,37256.10225347459,694.9818297531594,12,B
50.0,11779.44514543974,522.888194865702,1,A
43.0,24557.97267429959,764.8240125316352,10,B
36.0,12602.780907284676,550.2146024244665,3,A
12.0,33062.81462210181,624.6049156129855,2,A
35.0,61364.5024355167,745.0107514176897,15,A
38.0,10969.454741808302,702.9665227665403,2,B
45.0,41743.03780685475,728.8909053568614,10,B
26.0,93068.1630883033,558.0636802249364,14,B
48.0,14886.267685779132,581.8272955227525,6,B
58.0,31473.10104989605,723.6920597115834,0,B
43.0,34485.3523470214,765.3843832948995,10,B
37.0,14315.203358137484,590.0149329372387,14,B
45.0,43145.03443730083,522.888194865702,16,B
31.0,27207.026777319345,620.8449398188432,2,B
24.0,26534.637442023028,586.5979335633668,12,B
48.0,52163.658741688974,640.6495850873181,10,A
36.0,38774.91954111835,581.2635185139544,12,A
27.0,21932.65670884057,597.9549103675527,10,B
26.0,39931.53718930077,702.1398513122432,15,A
22.0,36967.27121789524,628.2660493050166,4,A
44.0,36092.49953192988,531.1955616698051,11,B
25.0,36967.27121789524,727.0368458599559,9,A
15.0,43061.97792396671,732.4156322522185,9,A
38.0,45822.93938966707,591.9686782393619,13,A
38.0,15477.983781569425,464.43114185990254,14,A
50.0,21246.20328156622,621.0983659997244,12,B
24.0,17202.279620420013,634.7391631732361,15,B
31.0,43145.03443730083,682.87860615207,19,B
44.0,40979.608155929694,772.9572523134116,3,B
27.0,35674.614339634645,733.6425819831744,0,B
54.0,16851.230587904804,635.2659402787823,4,A
56.0,44913.01727354888,673.4347058797833,15,B
37.0,30305.47691573301,676.269437826523,3,A
37.0,35674.614339634645,654.9363707240294,8,A
32.0,45531.83248245519,866.8596421774661,3,B
20.0,42603.85971942729,578.4634118416418,17,B
46.0,36903.21069638214,712.2087624222829,12,A
53.0,39894.22253384244,748.6321547282157,18,B
14.0,81272.10089749761,664.7246265017252,9,A
52.0,19150.412238275472,592.031115878582,18,A
42.0,36092.49953192988,676.3954830925811,6,A
52.0,14315.203358137484,740.4079453123611,1,A
40.0,33002.15055479813,528.8196179365168,8,B
45.0,10073.14075249346,710.0097449709556,12,A
22.0,37389.19976896003,634.2491441036873,13,B
53.0,33062.81462210181,602.0200440704908,18,A
34.0,68680.70695841695,686.0253822435051,12,B
36.0,32516.93602686384,522.5764592222778,16,B
44.0,14315.203358137484,714.4542911394001,7,B
42.0,111464.35762257034,554.3712820561518,17,A
38.0,88661.78143996121,740.6944383005361,5,B
32.0,40979.608155929694,648.1851779739483,9,B
43.0,24915.271552700997,648.1413031319707,17,A
22.0,39426.57465243883,679.8441854747342,18,A
37.0,15490.830832828344,730.6008616789247,8,A
44.0,24262.82318760653,632.8956353527608,15,A
22.0,21246.20328156622,605.1396668729803,13,A
54.0,25498.317154413908,706.0578525487668,18,A
34.0,41131.02825993301,636.2748391826922,14,A
50.0,27498.975284413435,524.969252372812,5,B
24.0,27992.889026734843,540.1597586491569,4,A
44.0,28870.62015644352,836.0623833505348,10,A
20.0,40979.29675011819,547.0885331933042,3,B
35.0,38783.21808263967,453.93022971679306,10,A
43.0,90278.03141867345,610.6675508027613,19,A
43.0,58113.003630848485,635.4000125879791,12,A
34.0,10868.346303349908,703.6063393761751,4,A
38.0,21202.564065671715,663.5765236114249,10,A
34.0,27963.088508233213,697.8677637659906,8,A
24.0,59926.41661516988,524.969252372812,4,A
32.0,91007.14853503734,729.6392226356254,2,B
41.0,21782.449575115097,613.4823084620222,1,B
41.0,36903.21069638214,643.3240973418725,1,A
39.0,32825.41616239653,531.1955616698051,3,A
34.0,55583.5619098472,531.1955616698051,7,A
38.0,23159.32084456062,658.8316580489775,12,B
36.0,75171.14965605337,684.6075561380921,3,B
25.0,49639.52153751258,578.4634118416418,12,A
34.0,41968.70827355246,607.8627686443033,8,A
50.0,23516.94198858941,607.766589014055,12,A
32.0,27452.53677274134,739.6672521122533,15,B
